restaurant_link,country,region,longitude,latitude,restaurant_name,count_awards
g187331-d966327,Germany,Hamburg,9.994335,53.54875,Le Plat Du Jour,9
g186338-d680325,United Kingdom,London,-0.131644,51.510895,Misato,9
g191274-d731933,United Kingdom,Durham,-1.207108,54.690647,Portofino,9
g1186326-d1229136,Italy,Tuscany,10.331665,43.87583,"Osteria l'Oliveta",9
g186612-d1209883,Ireland,Province of Munster,-9.50947,52.058804,"Mac's of Main Street",9
g194760-d947492,Italy,Emilia-Romagna,11.616478,44.836094,"Ristorante l'Oca Giuliva",9
g503783-d2018340,United Kingdom,Essex,0.591898,51.77521,The Blue Strawberry Bistrot,9
g187791-d2436481,Italy,Lazio,12.469891,41.89699,La Fiaschetta,9
g664630-d1155449,Greece,Ionian Islands,20.797098,38.073902,Gourgouris Grill,9
g186225-d1119865,United Kingdom,Cambridgeshire,0.123386,52.20428,"Savino's",9
g664648-d2059178,Greece,Ionian Islands,19.962915,39.422863,Taverna Malibu,9
g190744-d1889892,United Kingdom,Yorkshire,-0.44734,54.34902,Bryherstones Inn,9
g190736-d1749862,United Kingdom,Cumbria,-2.930536,54.89275,"Gianni's Ristorante",9
g190768-d1884802,United Kingdom,Devon,-3.767047,50.23802,Boatswains Brasserie,9
g186254-d775884,United Kingdom,Devon,-3.526508,50.728123,"Harry's Restaurant",9
g187234-d1717497,France,"Provence-Alpes-Cote d'Azur",7.26519,43.704124,Alounak Restaurant,9
g1137833-d2359615,Italy,Liguria,9.146887,44.364723,Focaccia in Piazzetta,9
g186273-d1925696,United Kingdom,East Sussex,-0.149497,50.824875,"Tookta's Thai Food",9
g187890-d1788600,Italy,Sicily,13.353924,38.129677,Da Diego,9
g1647571-d1731139,Italy,Veneto,12.417135,45.498016,Villa 600,9
g209953-d2520299,Northern Ireland,"",-5.535538,54.48886,Katch 27,9
g194790-d1899216,Italy,Abruzzo,13.250047,42.03484,La Fonte,9
g4338886-d2248836,United Kingdom,Oxfordshire,-1.318775,51.821224,The Royal Sun,9
g186439-d731009,Wales,North Wales,-3.169234,52.970043,Gales Wine Bar,9
g1062892-d1160383,Ireland,Province of Munster,-6.995298,52.155857,"The Spinnaker Bar, serving food",9
g189154-d1443171,Portugal,Central Portugal,-9.421633,38.697575,Pizzeria IL Siciliano,9
g504093-d1929337,United Kingdom,Oxfordshire,-1.486292,51.783756,Shaan Restaurant,9
g295392-d2410354,Bulgaria,"",27.914036,43.206875,Di Wine Restaurant & Wine Cellar,9
g656834-d1817939,Italy,Lazio,13.435373,41.256687,Gli Archi,9
g194697-d1860637,Italy,Lombardy,10.387472,46.45398,Baita de Mario- Ciuk,9
g551935-d2238465,Scotland,Stirling,-4.54,56.084167,The Oak Tree Inn,9
g528871-d2346133,United Kingdom,Cornwall,-5.244917,50.22245,Carn Brea Castle,9
